state_name,district_name,crop,season,avg_yield,yield_std,min_yield,max_yield,num_records,avg_area,total_area,avg_production,total_production,first_year,last_year,zn_,fe,cu_,mn_,b_,s_,opt_temperature,opt_humidity,opt_moisture,opt_nitrogen,opt_potassium,opt_phosphorus,season_encoded,zn,cu,mn,b,s,state_encoded,district_encoded,crop_encoded
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,ARECANUT,KHARIF,1.6192185007974482,0.03439674134958488,1.594896331738437,1.6435406698564594,2,1254.0,2508.0,2030.5,4061.0,2000,2001,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0,427,2
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,ARECANUT,RABI,1.7055084745762712,,1.7055084745762712,1.7055084745762712,1,944.0,944.0,1610.0,1610.0,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,2
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,ARECANUT,WHOLE YEAR,1.0088457283041954,0.5238588163667408,0.5330357142857143,1.6558028616852147,4,1169.925,4679.7,1222.8625,4891.45,2002,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,2
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,BANANA,WHOLE YEAR,8.501961719465573,7.976294824819313,3.6420454545454546,26.454545454545453,7,219.20285714285714,1534.42,1295.5885714285712,9069.119999999999,2000,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,7
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,BLACK PEPPER,RABI,0.3695652173913043,,0.3695652173913043,0.3695652173913043,1,23.0,23.0,8.5,8.5,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,15
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,BLACK PEPPER,WHOLE YEAR,0.1288130239426512,0.10349511429029225,0.0024390243902439024,0.21428571428571427,5,57.33200000000001,286.66,9.2,46.0,2002,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,15
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,CASHEWNUT,RABI,0.26036981509245377,,0.26036981509245377,0.26036981509245377,1,1000.5,1000.5,260.5,260.5,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,22
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,CASHEWNUT,WHOLE YEAR,0.23985811342538627,0.06370632483487769,0.124,0.2907949790794979,7,636.9285714285714,4458.5,158.9042857142857,1112.33,2000,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,22
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,COCONUT,WHOLE YEAR,3775.6321996583506,578.9712369175323,2847.5593513348954,4896.978021978022,8,16759.00125,134072.01,62585000.0,500680000.0,2000,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,28
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,DRY CHILLIES,RABI,2.0833333333333335,,2.0833333333333335,2.0833333333333335,1,12.0,12.0,25.0,25.0,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,37
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,DRY CHILLIES,WHOLE YEAR,1.7974334140435835,1.2686206776287847,0.06973365617433414,3.0,4,134.0,536.0,71.25,285.0,2002,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,37
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,DRY GINGER,RABI,1.3771428571428572,,1.3771428571428572,1.3771428571428572,1,7.0,7.0,9.64,9.64,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,38
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,DRY GINGER,WHOLE YEAR,2.927537509996251,0.45520188862114974,2.1739130434782608,3.5,6,59.21666666666667,355.3,174.4,1046.4,2000,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,38
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,MAIZE,RABI,4.744791666666667,,4.744791666666667,4.744791666666667,1,3.84,3.84,18.22,18.22,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,30.324156706507303,59.005949535192556,44.52634794156707,18.90305444887118,4.138114209827357,17.784860557768923,1,0.0,0.0,0.0,0.0,0.0,0,427,59
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,MOONG(GREEN GRAM),RABI,0.7333333333333334,,0.7333333333333334,0.7333333333333334,1,1.5,1.5,1.1,1.1,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,63
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,OTHER KHARIF PULSES,KHARIF,0.5,0.0,0.5,0.5,2,2.0,4.0,1.0,2.0,2000,2001,71.52,98.79,93.03,99.7,100.0,0.3,30.198104395604396,59.09331043956044,43.01611263736264,18.08653846153846,3.927197802197802,18.906593406593405,0,0.0,0.0,0.0,0.0,0.0,0,427,75
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,OTHER OILSEEDS,WHOLE YEAR,0.09071428571428572,0.02727411870290969,0.07142857142857142,0.11,2,2.6,5.2,0.205,0.41,2003,2004,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,77
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,RICE,AUTUMN,2.857142857142857,,2.857142857142857,2.857142857142857,1,3.5,3.5,10.0,10.0,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,5,0.0,0.0,0.0,0.0,0.0,0,427,98
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,RICE,KHARIF,2.513270449043652,0.9436123485696467,1.3707971288250849,3.6144578313253013,5,95.828,479.14,258.916,1294.58,2000,2004,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0,427,98
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,SUGARCANE,AUTUMN,3.1156716417910446,,3.1156716417910446,3.1156716417910446,1,13.4,13.4,41.75,41.75,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,30.48503276539974,59.36010484927915,43.548938401048495,18.764089121887288,3.657929226736566,18.466579292267365,5,0.0,0.0,0.0,0.0,0.0,0,427,109
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,SUGARCANE,WHOLE YEAR,3.375,3.1457643480294792,1.0,8.0,4,1.8,7.2,10.875,43.5,2000,2006,71.52,98.79,93.03,99.7,100.0,0.3,30.48503276539974,59.36010484927915,43.548938401048495,18.764089121887288,3.657929226736566,18.466579292267365,2,0.0,0.0,0.0,0.0,0.0,0,427,109
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,SWEET POTATO,RABI,9.454545454545455,,9.454545454545455,9.454545454545455,1,22.0,22.0,208.0,208.0,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,111
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,SWEET POTATO,WHOLE YEAR,3.592592592592593,1.0264004785593346,3.0,4.777777777777778,3,11.333333333333334,34.0,44.666666666666664,134.0,2000,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,111
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TAPIOCA,WHOLE YEAR,7.069063254105537,2.46807831135626,4.225,8.64885642898328,3,53.67666666666667,161.03,398.0,1194.0,2000,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,112
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TURMERIC,RABI,0.25,,0.25,0.25,1,2.0,2.0,0.5,0.5,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,117
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,TURMERIC,WHOLE YEAR,3.706,4.658419474456975,0.41200000000000003,7.0,2,6.25,12.5,35.515,71.03,2005,2006,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,2,0.0,0.0,0.0,0.0,0.0,0,427,117
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,URAD,RABI,0.7733333333333333,,0.7733333333333333,0.7733333333333333,1,1.5,1.5,1.16,1.16,2010,2010,71.52,98.79,93.03,99.7,100.0,0.3,28.0,55.0,45.0,20.0,10.0,20.0,1,0.0,0.0,0.0,0.0,0.0,0,427,119
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ARECANUT,KHARIF,1.6837096774193547,0.00889585950525011,1.6774193548387097,1.69,2,3100.0,6200.0,5219.5,10439.0,2000,2001,93.36,100.0,83.19,100.0,90.78,0.23,28.0,55.0,45.0,20.0,10.0,20.0,0,0.0,0.0,0.0,0.0,0.0,0,429,2
